aggiornamento,numero_casi,nome_regione,lng,lat
2020-02-28 18:00:00,151, Veneto,11.854319842000052,45.65492501300008
2020-02-28 18:00:00,145, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-28 18:00:00,11, Piemonte,7.92049247500006,45.057301080000066
2020-02-28 18:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-28 18:00:00,8, Toscana,11.126187689000062,43.45082948600003
2020-02-28 18:00:00,4, Sicilia,14.000000000000055,37.500000000000064
2020-02-28 18:00:00,19, Liguria,9.427370000000053,44.415350258000046
2020-02-28 18:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-28 18:00:00,6, Marche,13.137824067000055,43.34820017700007
2020-02-28 18:00:00,4, Campania,14.840115810000045,40.85973483500004
2020-02-28 18:00:00,1, Abruzzo,13.855048784000076,42.227555685000034
